place_id,name,type,lat,lng,rating,user_ratings_total,price_level,vicinity,city,collected_at
ChIJy8861gzChkcRAUyh6izJ3ZE,Farmacia Dott. Camera Giacomo,pharmacy,45.4471846,9.093664,3.6,40.0,,"Via Monsignor Pogliani, 14, Cesano Boscone",milan,2026-02-03T22:21:26.452401
ChIJh9npNXPChkcRwIR5_LnJ7sM,Mainardi Massimo,pharmacy,45.4465528,9.0921395,,,,"Vicolo Cortuccio, 7, Cesano Boscone",milan,2026-02-03T22:21:26.452434
ChIJi266jnLChkcRb97bo21YjF0,Farmacia Santo Spirito,pharmacy,45.4445183,9.0952615,4.6,36.0,,"Via della Repubblica, 2, Cesano Boscone",milan,2026-02-03T22:21:26.452443
ChIJy8861gzChkcRSJRnRyDnUHA,D & G.i.,pharmacy,45.4471558,9.093601099999997,5.0,1.0,,"Via Monsignor Pogliani, 20, Cesano Boscone",milan,2026-02-03T22:21:26.452451
ChIJG-eY777DhkcRvNaXmFVYUtU,DuEllE,pharmacy,45.4441797,9.1010033,4.7,24.0,,"Via Isonzo, 27, Cesano Boscone",milan,2026-02-03T22:21:26.562059
ChIJW7Bq3WrChkcR3hA_uoOw3hU,Farmacie Comunali Corsichesi Spa,pharmacy,45.4448223,9.105129100000001,5.0,3.0,,"Via Alessandro Volta, 20, Corsico",milan,2026-02-03T22:21:27.685150
ChIJGb4qqBTChkcR_M0jXYTLyaA,Socrate Medical Srl,pharmacy,45.44683,9.103449999999997,,,,"Via Raffaello Sanzio, 16, Cesano Boscone",milan,2026-02-03T22:21:27.685201
ChIJuX-YMTTChkcRUJxkOBfw3oE,Farmacia Lorenteggio - Apoteca Natura,pharmacy,45.4470669,9.1271215,4.0,103.0,,"Via Lorenteggio, 208, Milano",milan,2026-02-03T22:21:27.939148
ChIJpewjscvDhkcRilpVHiHpiR4,Farmacia Biazzi,pharmacy,45.4460536,9.1349092,4.2,24.0,,"Via Giambellino, 131/5, Milano",milan,2026-02-03T22:21:28.051624
ChIJtUeodVjDhkcRPJo6sFK6hl4,Farmacia Dinamica Milano,pharmacy,45.4475399,9.1557193,4.7,59.0,,"Via Lodovico Il Moro, 3, Milano",milan,2026-02-03T22:21:28.357817
